Inserted 990000
Inserted 995000

7 hodin 1M xdd

19751: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19752: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19753: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19754: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19755: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19756: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19757: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
19758: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19759: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19760: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19761: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19762: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19763: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19764: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19765: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19766: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19767: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
19768: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19769: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19770: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19771: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19772: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19773: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19774: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19775: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19776: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19777: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19778: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19779: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19780: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19781: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
19782: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19783: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19784: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19785: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19786: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
