K: 10;;;;
10;3040.97;7056.26;0.91 (10.00/10);715.28\\
25;2867.57;2703.60;0.99 (10.00/10);124.00\\
50;2817.17;2168.04;1.00 (10.00/10);25.96\\
75;2805.95;2163.28;1.00 (10.00/10);15.83\\
90;2811.61;2163.50;1.00 (10.00/10);13.34\\
;;;;
K: 50;;;;
10;3534.66;16451.46;0.73 (49.67/50);1800.22\\
25;3076.86;4966.35;0.93 (49.96/50);426.49\\
50;2921.99;2435.99;0.99 (50.00/50);105.44\\
75;2903.95;2129.43;1.00 (50.00/50);71.57\\
90;2891.03;2113.17;1.00 (50.00/50);58.76\\
;;;;
K: 100;;;;
10;3961.65;25212.24;0.58 (98.77/100);2747.15\\
25;3268.71;8161.75;0.85 (99.88/100);753.35\\
50;2999.55;2952.85;0.97 (100.00/100);221.45\\
75;2946.42;2226.74;1.00 (100.00/100);160.95\\
90;2930.98;2117.40;1.00 (100.00/100);142.65\\
;;;;
K: 150;;;;
10;4292.07;32129.19;0.50 (147.38/150);3547.55\\
25;3411.34;11481.21;0.76 (149.78/150);1060.20\\
50;3089.03;3804.70;0.95 (150.00/150);319.30\\
75;3036.32;2642.55;0.98 (150.00/150);226.25\\
90;2992.38;2173.99;1.00 (150.00/150);197.20\\
;;;;
K: 200;;;;
10;4578.50;37901.86;0.45 (195.29/200);4234.40\\
25;3587.91;14764.61;0.68 (199.68/200);1367.60\\
50;3175.45;5156.43;0.90 (200.00/200);417.50\\
75;3096.15;3594.97;0.95 (200.00/200);290.35\\
90;3051.25;2810.96;0.99 (200.00/200);251.65\\
